"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.346023199E2,6.491138769E1,2.553321998E1,1.128432497E1,1.440000057E0,2.046999969E2,3.790092468E0,2.500000000E0
1.356023040E2,6.491137694E1,2.553320463E1,1.118788181E1,1.460000038E0,2.036999969E2,3.790092468E0,2.500000000E0
1.366025594E2,6.491136601E1,2.553318932E1,1.101557179E1,1.480000019E0,2.065000000E2,3.790092468E0,2.500000000E0
1.376019721E2,6.491135494E1,2.553317714E1,1.093707218E1,1.490000010E0,2.048999939E2,3.790092468E0,2.500000000E0
1.386020564E2,6.491134412E1,2.553316587E1,1.079472989E1,1.570000052E0,2.028999939E2,3.790092468E0,2.500000000E0
1.396019320E2,6.491133275E1,2.553315513E1,1.060062919E1,1.559999943E0,2.038000031E2,3.790092468E0,2.500000000E0
1.406019317E2,6.491132158E1,2.553314220E1,1.056271799E1,1.529999971E0,2.038999939E2,3.790092468E0,2.500000000E0
1.416021039E2,6.491131112E1,2.553313008E1,1.064242206E1,1.509999990E0,2.033000031E2,3.790092468E0,2.500000000E0
1.426025195E2,6.491130064E1,2.553311867E1,1.052937699E1,1.470000029E0,2.036000061E2,3.790092468E0,2.500000000E0
1.436024870E2,6.491128986E1,2.553310427E1,1.029798492E1,1.480000019E0,2.046000061E2,3.790092468E0,2.500000000E0
1.446018362E2,6.491127909E1,2.553309235E1,1.041693429E1,1.460000038E0,2.013999939E2,3.790092468E0,2.500000000E0
1.456024908E2,6.491126776E1,2.553307761E1,1.057873024E1,1.559999943E0,2.050000000E2,3.790092468E0,2.500000000E0
1.466018167E2,6.491125627E1,2.553306099E1,1.053380027E1,1.509999990E0,2.058999939E2,3.790092468E0,2.500000000E0
1.476023147E2,6.491124479E1,2.553304186E1,1.059140976E1,1.470000029E0,2.101000061E2,3.790092468E0,2.500000000E0
1.486025780E2,6.491123419E1,2.553301913E1,1.048373741E1,1.470000029E0,2.111000061E2,3.790092468E0,2.500000000E0
1.496021490E2,6.491122195E1,2.553299528E1,1.074398364E1,1.519999981E0,2.096000061E2,3.790092468E0,2.500000000E0
1.506020202E2,6.491120982E1,2.553297637E1,1.073933663E1,1.509999990E0,2.071000061E2,3.790092468E0,2.500000000E0
1.516021161E2,6.491119684E1,2.553295558E1,1.106446208E1,1.500000000E0,2.066000061E2,3.790092468E0,2.500000000E0
1.526020016E2,6.491118388E1,2.553293630E1,1.131964101E1,1.500000000E0,2.065000000E2,3.790092468E0,2.500000000E0
1.536024815E2,6.491117100E1,2.553291435E1,1.138439075E1,1.519999981E0,2.101000061E2,3.790092468E0,2.500000000E0
1.546019105E2,6.491115900E1,2.553289192E1,1.152921950E1,1.450000048E0,2.143999939E2,3.790092468E0,2.500000000E0
